Active_Users,Requests_Per_Second,Background_Tasks,CPU_Load
243,347.78,53,19.96
708,722.95,60,36.48
1324,1077.33,21,40.27
1247,1707.74,28,55.97
286,289.53,53,21.8
1449,1892.24,68,62.15
563,670.07,58,27.36
1472,2027.16,70,66.81
1894,2084.25,26,66.84
759,1173.79,83,47.82
863,664.6,66,30.52
1054,1628.17,64,54.71
502,560.98,56,34.48
1469,2661.06,21,76.25
1634,2079.84,71,71.77
246,482.08,89,29.48
1271,1783.09,97,61.68
963,804.85,92,36.68
1834,3177.75,17,89.12
1943,1977.24,30,67.77
588,600.6,90,27.04
1028,563.04,96,37.27
1763,2332.58,89,81.39
650,846.06,79,33.58
437,451.85,81,27.81
971,1787.93,34,56.55
740,512.91,91,33.52
1902,1892.77,98,73.72
572,561.92,21,23.32
250,159.61,24,9.71
1538,1879.0,68,63.42
1421,2176.51,35,64.48
1734,2197.82,35,69.56
362,266.24,56,22.82
1887,2011.41,41,64.26
243,122.45,19,12.21
445,802.09,25,24.8
723,453.16,80,27.07
1116,1557.84,26,51.59
1695,3355.06,32,88.68
980,1278.79,35,46.08
101,190.49,94,15.16
996,850.76,95,43.48
1427,2340.18,16,63.03
353,457.81,23,18.13
1775,2805.87,88,93.36
552,327.62,16,23.8
1160,837.07,18,33.9
1283,897.68,57,42.65
1114,1705.25,81,61.96
108,190.8,68,18.74
1356,2202.72,96,71.39
1222,666.86,91,37.41
1782,3209.07,48,94.41
915,943.57,27,39.11
307,336.39,68,26.74
1254,824.26,26,31.56
503,807.87,23,24.73
251,194.13,40,18.88
153,205.93,33,9.29
1243,2189.0,69,71.83
1796,1138.32,54,50.48
727,947.28,12,30.85
686,582.98,46,28.74
1748,1773.15,52,59.11
1543,1868.5,49,65.17
1545,1595.45,99,67.33
203,299.07,64,22.02
1975,2408.26,96,81.78
353,485.83,48,18.43
1350,2167.07,24,59.74
1235,1650.72,13,47.68
609,840.3,95,37.36
1596,2149.31,34,67.69
198,211.5,22,16.02
252,253.55,91,16.3
1984,3669.35,42,99.0
1013,1429.68,25,48.31
977,846.6,51,35.82
437,545.1,75,24.2
1829,1820.81,64,69.85
921,1750.4,51,53.42
1286,657.53,43,35.25
1843,1544.43,39,59.37
1056,1106.73,22,37.15
1804,2222.01,22,68.83
260,461.82,27,22.13
1703,1076.01,41,49.94
900,1537.92,48,51.88
497,289.99,55,17.8
1400,2468.86,38,71.47
915,528.37,71,30.63
1627,858.02,71,46.81
1515,2341.34,66,74.58
1258,2510.82,25,70.76
1318,2431.6,65,80.71
500,682.0,19,24.67
739,1386.43,39,42.8
1156,587.19,34,28.23
787,1544.57,93,48.45
559,690.99,14,22.15
1054,1669.9,74,54.18
569,985.11,58,40.12
1498,2363.37,12,68.56
1145,1491.43,54,52.26
849,1031.47,23,36.13
1793,3151.87,39,90.96
137,110.64,77,20.49
329,642.21,27,17.85
1488,2330.85,71,77.25
662,529.11,46,19.26
537,861.55,34,31.09
1899,2458.75,57,85.44
1406,2194.55,74,72.39
126,208.11,62,17.74
325,205.05,88,27.16
1400,1762.82,82,60.35
897,1702.53,24,51.72
1732,1699.03,58,63.83
383,532.69,97,27.62
978,1030.66,77,41.79
1059,1251.1,21,41.08
1604,2121.94,68,70.54
552,730.51,46,31.37
1119,898.1,70,41.52
1952,2980.43,52,91.46
915,578.1,79,27.7
758,536.84,48,27.46
1639,826.16,65,41.34
646,436.08,72,28.29
1315,1590.82,55,56.33
1172,1651.53,97,59.1
1635,2765.49,20,80.19
116,76.57,71,17.78
1295,2300.04,86,72.37
1343,2174.27,34,62.16
257,285.98,80,16.55
576,1094.06,61,38.85
1169,2322.09,13,65.16
1496,1208.02,68,48.01
617,659.48,81,34.64
198,374.16,29,15.99
1868,2955.91,72,85.03
1160,663.68,63,39.94
379,633.79,83,33.2
1472,2564.09,66,71.56
596,968.95,99,38.55
401,681.42,50,25.83
280,486.56,12,23.65
706,550.4,15,24.27
1222,1043.02,14,34.99
799,1159.06,14,40.22
1092,2033.08,63,59.19
1239,1207.15,56,46.35
290,400.91,96,23.21
352,536.61,58,23.37
1080,1272.16,18,45.85
1027,1613.08,29,55.0
1284,2374.76,70,68.51
1379,1980.45,44,64.68
1446,1893.79,59,61.04
227,262.89,91,19.52
117,159.85,71,17.94
1916,1979.31,26,63.26
1858,2020.06,97,75.09
665,863.03,12,32.3
669,401.35,41,22.52
1446,1219.76,22,50.04
1995,2621.98,98,83.37
785,900.62,82,43.1
1915,1913.51,77,64.29
725,1156.97,23,45.79
1411,2173.75,20,63.37
953,714.84,65,31.84
1786,3246.85,76,94.7
1061,1318.97,38,42.65
1762,2840.68,18,82.39
254,345.37,76,26.15
589,1175.96,34,34.83
1509,2457.56,85,79.48
884,1379.46,51,41.93
1227,2046.46,18,63.1
1516,1083.47,88,51.88
1934,1560.38,49,63.68
345,542.03,34,22.32
1299,1612.02,14,50.32
1162,1896.33,20,58.99
1600,1047.0,68,44.82
